<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TRNFP;D;16/12/23;00:00;1397.5;865100
TRNFP;D;19/12/23;00:00;1413;538800
TRNFP;D;20/12/23;00:00;1441;705800
TRNFP;D;21/12/23;00:00;1435.5;1008100
TRNFP;D;22/12/23;00:00;1432.5;574500
TRNFP;D;23/12/23;00:00;1446.5;1181400
TRNFP;D;26/12/23;00:00;1448.5;643000
TRNFP;D;27/12/23;00:00;1443.5;608000
TRNFP;D;28/12/23;00:00;1449.5;494900
TRNFP;D;29/12/23;00:00;1448;546500
TRNFP;D;30/12/23;00:00;1445;535900
TRNFP;D;04/01/24;00:00;1460;422500
TRNFP;D;05/01/24;00:00;1457.5;283900
TRNFP;D;06/01/24;00:00;1454;236100
TRNFP;D;09/01/24;00:00;1460;233600
TRNFP;D;10/01/24;00:00;1459;617800
TRNFP;D;11/01/24;00:00;1456.5;517300
TRNFP;D;12/01/24;00:00;1482.5;1658900
TRNFP;D;13/01/24;00:00;1493;1312800
TRNFP;D;16/01/24;00:00;1497.5;898600
TRNFP;D;17/01/24;00:00;1544.5;3538700
TRNFP;D;18/01/24;00:00;1564;3624400
TRNFP;D;19/01/24;00:00;1550;1402000
TRNFP;D;20/01/24;00:00;1554;1140700
TRNFP;D;23/01/24;00:00;1561;1010500
TRNFP;D;24/01/24;00:00;1554;786400
TRNFP;D;25/01/24;00:00;1575.5;1698900
TRNFP;D;26/01/24;00:00;1572;1258700
TRNFP;D;27/01/24;00:00;1564.5;1102600
TRNFP;D;30/01/24;00:00;1577.5;768800
TRNFP;D;31/01/24;00:00;1583;1412700
TRNFP;D;01/02/24;00:00;1577;1224900
TRNFP;D;02/02/24;00:00;1574;857700
TRNFP;D;03/02/24;00:00;1577;916000
TRNFP;D;06/02/24;00:00;1586;1325700
TRNFP;D;07/02/24;00:00;1584.5;454900
TRNFP;D;08/02/24;00:00;1600;1557500
TRNFP;D;09/02/24;00:00;1591;1545100
TRNFP;D;10/02/24;00:00;1592;640300
TRNFP;D;13/02/24;00:00;1617.5;1056600
TRNFP;D;14/02/24;00:00;1659.5;1976300
TRNFP;D;15/02/24;00:00;1668.5;1990200
TRNFP;D;22/02/24;00:00;1583.5;5647672
TRNFP;D;23/02/24;00:00;1604.5;1702976
TRNFP;D;27/02/24;00:00;1638;1659830
TRNFP;D;28/02/24;00:00;1616;1083218
TRNFP;D;29/02/24;00:00;1608.5;630779
TRNFP;D;01/03/24;00:00;1608;564594
TRNFP;D;02/03/24;00:00;1590;1274877
TRNFP;D;05/03/24;00:00;1585;1071760
TRNFP;D;06/03/24;00:00;1604.5;1280900
TRNFP;D;07/03/24;00:00;1597;620504
TRNFP;D;08/03/24;00:00;1600;702151
TRNFP;D;12/03/24;00:00;1630.5;1499086
TRNFP;D;13/03/24;00:00;1618;680734
TRNFP;D;14/03/24;00:00;1604;562913
TRNFP;D;15/03/24;00:00;1585.5;1031273
TRNFP;D;16/03/24;00:00;1594.5;878324
TRNFP;D;19/03/24;00:00;1589.5;482248
TRNFP;D;20/03/24;00:00;1583;1172720
TRNFP;D;21/03/24;00:00;1607;2283041
TRNFP;D;22/03/24;00:00;1626.5;1485964
TRNFP;D;23/03/24;00:00;1595;1593358
TRNFP;D;26/03/24;00:00;1608;764969
TRNFP;D;27/03/24;00:00;1625;999831
TRNFP;D;28/03/24;00:00;1623.5;1025604
TRNFP;D;29/03/24;00:00;1623.5;1030106
TRNFP;D;30/03/24;00:00;1645.5;1831005
TRNFP;D;02/04/24;00:00;1639.5;1541394
TRNFP;D;03/04/24;00:00;1640;814387
TRNFP;D;04/04/24;00:00;1633.5;744890
TRNFP;D;05/04/24;00:00;1633.5;721088
TRNFP;D;06/04/24;00:00;1638;633367
TRNFP;D;09/04/24;00:00;1635.5;666064
TRNFP;D;10/04/24;00:00;1639;555716
TRNFP;D;11/04/24;00:00;1635.5;405032
TRNFP;D;12/04/24;00:00;1625.5;663489
TRNFP;D;13/04/24;00:00;1620;720649
TRNFP;D;16/04/24;00:00;1626.5;628645
TRNFP;D;17/04/24;00:00;1614.5;658519
TRNFP;D;18/04/24;00:00;1614.5;687323
TRNFP;D;19/04/24;00:00;1603.5;414878
TRNFP;D;20/04/24;00:00;1613;672786
TRNFP;D;23/04/24;00:00;1614.5;645847
TRNFP;D;24/04/24;00:00;1607;568432
TRNFP;D;25/04/24;00:00;1599;592742
TRNFP;D;26/04/24;00:00;1596.5;379597
TRNFP;D;27/04/24;00:00;1600.5;403634
TRNFP;D;28/04/24;00:00;1598;246822
TRNFP;D;30/04/24;00:00;1599;118335
TRNFP;D;01/05/24;00:00;1597.5;107261
TRNFP;D;03/05/24;00:00;1599.5;225884
TRNFP;D;04/05/24;00:00;1597;210251
TRNFP;D;07/05/24;00:00;1592.5;388838
TRNFP;D;08/05/24;00:00;1644;3659430
TRNFP;D;09/05/24;00:00;1636;1280319
TRNFP;D;11/05/24;00:00;1636;372890
TRNFP;D;14/05/24;00:00;1643;836746
TRNFP;D;15/05/24;00:00;1671.5;2277324
TRNFP;D;16/05/24;00:00;1667.5;909892
TRNFP;D;17/05/24;00:00;1675.5;718388
TRNFP;D;18/05/24;00:00;1679;737967
TRNFP;D;21/05/24;00:00;1666;875546
TRNFP;D;22/05/24;00:00;1665;659020
TRNFP;D;23/05/24;00:00;1703.5;1426705
TRNFP;D;24/05/24;00:00;1692;872193
TRNFP;D;25/05/24;00:00;1663;1529854
TRNFP;D;28/05/24;00:00;1645;2245090
TRNFP;D;29/05/24;00:00;1649.5;986964
TRNFP;D;30/05/24;00:00;1669;1108115
TRNFP;D;31/05/24;00:00;1644;1894022
TRNFP;D;01/06/24;00:00;1589;1830512
TRNFP;D;04/06/24;00:00;1622;1945959
TRNFP;D;05/06/24;00:00;1629;829291
TRNFP;D;06/06/24;00:00;1602;845549
TRNFP;D;07/06/24;00:00;1618;540699
TRNFP;D;08/06/24;00:00;1653.5;1937889
TRNFP;D;11/06/24;00:00;1635;886120
TRNFP;D;12/06/24;00:00;1637;800631
TRNFP;D;14/06/24;00:00;1627.5;1574996
TRNFP;D;15/06/24;00:00;1642;622048
TRNFP;D;18/06/24;00:00;1636;646081
TRNFP;D;19/06/24;00:00;1611;734965
TRNFP;D;20/06/24;00:00;1587;1086003
TRNFP;D;21/06/24;00:00;1540.5;3693531
TRNFP;D;22/06/24;00:00;1551;1501866
TRNFP;D;25/06/24;00:00;1559.5;744308
TRNFP;D;26/06/24;00:00;1582;828473
TRNFP;D;27/06/24;00:00;1592.5;507029
TRNFP;D;28/06/24;00:00;1593.5;403739
TRNFP;D;29/06/24;00:00;1621.5;646494
TRNFP;D;02/07/24;00:00;1625.5;569090
TRNFP;D;03/07/24;00:00;1615.5;328664
TRNFP;D;04/07/24;00:00;1605;320075
TRNFP;D;05/07/24;00:00;1581.5;408675
TRNFP;D;06/07/24;00:00;1577.5;777431
TRNFP;D;09/07/24;00:00;1577;443230
TRNFP;D;10/07/24;00:00;1502.5;1700004
TRNFP;D;11/07/24;00:00;1411;3727274
TRNFP;D;12/07/24;00:00;1473.5;3941126
TRNFP;D;13/07/24;00:00;1463;1922111
TRNFP;D;16/07/24;00:00;1449;1565225
TRNFP;D;17/07/24;00:00;1443;3329026
TRNFP;D;18/07/24;00:00;1437;1719923
TRNFP;D;19/07/24;00:00;1323.5;3796590
TRNFP;D;20/07/24;00:00;1380;2153518
TRNFP;D;23/07/24;00:00;1375;1077724
TRNFP;D;24/07/24;00:00;1373;606184
TRNFP;D;25/07/24;00:00;1410.5;996839
TRNFP;D;26/07/24;00:00;1401.5;619816
TRNFP;D;27/07/24;00:00;1388;1371964
TRNFP;D;30/07/24;00:00;1355.5;1014145
TRNFP;D;31/07/24;00:00;1373;935380
TRNFP;D;01/08/24;00:00;1390;564484
TRNFP;D;02/08/24;00:00;1377.5;555848
TRNFP;D;03/08/24;00:00;1368.5;575905
TRNFP;D;06/08/24;00:00;1344;1178212
TRNFP;D;07/08/24;00:00;1354;663147
TRNFP;D;08/08/24;00:00;1374.5;746955
TRNFP;D;09/08/24;00:00;1365;401545
TRNFP;D;10/08/24;00:00;1368.5;244173
TRNFP;D;13/08/24;00:00;1371.5;438771
TRNFP;D;14/08/24;00:00;1416;1093574
TRNFP;D;15/08/24;00:00;1399;992217
TRNFP;D;16/08/24;00:00;1372.5;712249
TRNFP;D;17/08/24;00:00;1374.5;491420
TRNFP;D;20/08/24;00:00;1370;590120
TRNFP;D;21/08/24;00:00;1339.5;1005165
TRNFP;D;22/08/24;00:00;1336;610708
TRNFP;D;23/08/24;00:00;1317;761414
TRNFP;D;24/08/24;00:00;1303.5;1034521
TRNFP;D;27/08/24;00:00;1331.5;848057
TRNFP;D;28/08/24;00:00;1316;741046
TRNFP;D;29/08/24;00:00;1299;840531
TRNFP;D;30/08/24;00:00;1286.5;935874
TRNFP;D;31/08/24;00:00;1258;1515344
TRNFP;D;03/09/24;00:00;1227;2012787
TRNFP;D;04/09/24;00:00;1230;1665286
TRNFP;D;05/09/24;00:00;1275;1224465
TRNFP;D;06/09/24;00:00;1296.5;1791321
TRNFP;D;07/09/24;00:00;1301.5;1067698
TRNFP;D;10/09/24;00:00;1370;1763778
TRNFP;D;11/09/24;00:00;1342.5;1350146
TRNFP;D;12/09/24;00:00;1315.5;902552
TRNFP;D;13/09/24;00:00;1337.5;1033829
TRNFP;D;14/09/24;00:00;1359.5;1649629
TRNFP;D;17/09/24;00:00;1393;1633088
TRNFP;D;18/09/24;00:00;1392.5;822387
TRNFP;D;19/09/24;00:00;1364;974842
TRNFP;D;20/09/24;00:00;1375.5;443510
TRNFP;D;21/09/24;00:00;1392;431528
TRNFP;D;24/09/24;00:00;1420;896752
TRNFP;D;25/09/24;00:00;1418;773345
TRNFP;D;26/09/24;00:00;1382.5;898563
TRNFP;D;27/09/24;00:00;1391.5;662294
TRNFP;D;28/09/24;00:00;1388;405553
TRNFP;D;01/10/24;00:00;1379;814795
TRNFP;D;02/10/24;00:00;1367.5;682871
TRNFP;D;03/10/24;00:00;1352;765450
TRNFP;D;04/10/24;00:00;1354;752551
TRNFP;D;05/10/24;00:00;1350;308693
TRNFP;D;08/10/24;00:00;1374.5;537764
TRNFP;D;09/10/24;00:00;1385;706514
TRNFP;D;10/10/24;00:00;1368;437735
TRNFP;D;11/10/24;00:00;1364.5;288836
TRNFP;D;12/10/24;00:00;1362.5;244539
TRNFP;D;15/10/24;00:00;1360.5;425043
TRNFP;D;16/10/24;00:00;1370;752268
TRNFP;D;17/10/24;00:00;1363;379565
TRNFP;D;18/10/24;00:00;1351.5;288322
TRNFP;D;19/10/24;00:00;1356;797264
TRNFP;D;22/10/24;00:00;1351.5;449540
TRNFP;D;23/10/24;00:00;1348;369529
TRNFP;D;24/10/24;00:00;1325;527433
TRNFP;D;25/10/24;00:00;1334.5;615177
TRNFP;D;26/10/24;00:00;1291;960264
TRNFP;D;29/10/24;00:00;1250.5;1094700
TRNFP;D;30/10/24;00:00;1273;502499
TRNFP;D;31/10/24;00:00;1252;303771
TRNFP;D;01/11/24;00:00;1242.5;726329
TRNFP;D;02/11/24;00:00;1264.5;422779
TRNFP;D;03/11/24;00:00;1276;189871
TRNFP;D;06/11/24;00:00;1274.5;380599
TRNFP;D;07/11/24;00:00;1312.5;849284
TRNFP;D;08/11/24;00:00;1335.5;495274
TRNFP;D;09/11/24;00:00;1348;603308
TRNFP;D;12/11/24;00:00;1364;567432
TRNFP;D;13/11/24;00:00;1358;431449
TRNFP;D;14/11/24;00:00;1340;417605
TRNFP;D;15/11/24;00:00;1329.5;338985
TRNFP;D;16/11/24;00:00;1343.5;242781
TRNFP;D;19/11/24;00:00;1222.5;6734066
TRNFP;D;20/11/24;00:00;1166.5;5637868
TRNFP;D;21/11/24;00:00;1144;3967915
TRNFP;D;22/11/24;00:00;1092;10670237
TRNFP;D;23/11/24;00:00;1072;2785104
TRNFP;D;26/11/24;00:00;1054;1727857
TRNFP;D;27/11/24;00:00;1031;4134977
TRNFP;D;28/11/24;00:00;1042.5;2607349
TRNFP;D;29/11/24;00:00;1040;1255738
TRNFP;D;30/11/24;00:00;1016;2910213
TRNFP;D;03/12/24;00:00;1002.5;1476024
TRNFP;D;04/12/24;00:00;966;1976821
TRNFP;D;05/12/24;00:00;919.5;2301757
TRNFP;D;06/12/24;00:00;942.5;4300079
TRNFP;D;07/12/24;00:00;964;3253531
TRNFP;D;10/12/24;00:00;979.5;1415485
TRNFP;D;11/12/24;00:00;952.5;1042887
TRNFP;D;12/12/24;00:00;953.5;1055930
TRNFP;D;13/12/24;00:00;927;1190648
TRNFP;D;14/12/24;00:00;926;658650
TRNFP;D;17/12/24;00:00;895.5;1244355
TRNFP;D;18/12/24;00:00;901;1043419
TRNFP;D;19/12/24;00:00;923;1411703
TRNFP;D;20/12/24;00:00;922;1087389
TRNFP;D;21/12/24;00:00;995.5;2521707
TRNFP;D;24/12/24;00:00;1042;2277578
TRNFP;D;25/12/24;00:00;1054;2092692
TRNFP;D;26/12/24;00:00;1125;3551178
TRNFP;D;27/12/24;00:00;1126.5;2905613
TRNFP;D;28/12/24;00:00;1151;1775607
TRNFP;D;29/12/24;00:00;1232;4119443
TRNFP;D;31/12/24;00:00;1230.5;3545841
TRNFP;D;04/01/25;00:00;1196.5;1613603
TRNFP;D;07/01/25;00:00;1194;485364
TRNFP;D;09/01/25;00:00;1203;452131
TRNFP;D;10/01/25;00:00;1136;1670422
TRNFP;D;11/01/25;00:00;1172;2139104
TRNFP;D;14/01/25;00:00;1170.5;1326860
TRNFP;D;15/01/25;00:00;1155.5;1216871
TRNFP;D;16/01/25;00:00;1166.5;935840
TRNFP;D;17/01/25;00:00;1183.5;1149466
TRNFP;D;18/01/25;00:00;1197;1079688
TRNFP;D;21/01/25;00:00;1166;1317246
TRNFP;D;22/01/25;00:00;1168.5;789961
TRNFP;D;23/01/25;00:00;1167;1097276
TRNFP;D;24/01/25;00:00;1179.5;611595
TRNFP;D;25/01/25;00:00;1166;622042
TRNFP;D;28/01/25;00:00;1152;540393
TRNFP;D;29/01/25;00:00;1171;847192
TRNFP;D;30/01/25;00:00;1157;546450
TRNFP;D;31/01/25;00:00;1163;1459284
TRNFP;D;01/02/25;00:00;1156;1736490
