<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TRNFP;D;04/02/25;00:00;1151.6;774465
TRNFP;D;05/02/25;00:00;1119.2;1796252
TRNFP;D;06/02/25;00:00;1140;1268374
TRNFP;D;07/02/25;00:00;1130.8;783326
TRNFP;D;08/02/25;00:00;1120.8;558301
TRNFP;D;11/02/25;00:00;1130.4;1259757
TRNFP;D;12/02/25;00:00;1183.6;1888399
TRNFP;D;13/02/25;00:00;1253;3566681
TRNFP;D;14/02/25;00:00;1233.6;2615611
TRNFP;D;15/02/25;00:00;1209;2656751
TRNFP;D;18/02/25;00:00;1255.6;1898600
TRNFP;D;19/02/25;00:00;1233.6;1679663
TRNFP;D;20/02/25;00:00;1246;831216
TRNFP;D;21/02/25;00:00;1235.2;1142763
TRNFP;D;22/02/25;00:00;1225.6;1211890
TRNFP;D;25/02/25;00:00;1237;1492181
TRNFP;D;26/02/25;00:00;1232.6;1290466
TRNFP;D;27/02/25;00:00;1197.6;1643650
TRNFP;D;28/02/25;00:00;1172;1384158
TRNFP;D;01/03/25;00:00;1178.4;1299096
TRNFP;D;02/03/25;00:00;1190.6;37958
TRNFP;D;03/03/25;00:00;1179.8;79676
TRNFP;D;04/03/25;00:00;1154.2;1636882
TRNFP;D;05/03/25;00:00;1161;1953931
TRNFP;D;06/03/25;00:00;1144.2;1791540
TRNFP;D;07/03/25;00:00;1150.8;1122939
TRNFP;D;08/03/25;00:00;1141;1257175
TRNFP;D;11/03/25;00:00;1167.6;1473559
TRNFP;D;12/03/25;00:00;1159.8;1778898
TRNFP;D;13/03/25;00:00;1159.6;675184
TRNFP;D;14/03/25;00:00;1152;1442798
TRNFP;D;15/03/25;00:00;1165.6;807624
TRNFP;D;16/03/25;00:00;1168.8;42458
TRNFP;D;17/03/25;00:00;1184;145464
TRNFP;D;18/03/25;00:00;1192;1487478
TRNFP;D;19/03/25;00:00;1190;2016076
TRNFP;D;20/03/25;00:00;1253.8;2731077
TRNFP;D;21/03/25;00:00;1245.6;2131111
TRNFP;D;22/03/25;00:00;1231.8;1072705
TRNFP;D;25/03/25;00:00;1234.8;1511982
TRNFP;D;26/03/25;00:00;1231;1440647
TRNFP;D;27/03/25;00:00;1210;685656
TRNFP;D;28/03/25;00:00;1176;1276876
TRNFP;D;29/03/25;00:00;1200.8;3021474
TRNFP;D;30/03/25;00:00;1195.6;161573
TRNFP;D;31/03/25;00:00;1170.8;239722
TRNFP;D;01/04/25;00:00;1257.4;2707141
TRNFP;D;02/04/25;00:00;1227.2;3182624
TRNFP;D;03/04/25;00:00;1280.2;2963231
TRNFP;D;04/04/25;00:00;1271;2601030
TRNFP;D;05/04/25;00:00;1208.4;2888704
TRNFP;D;06/04/25;00:00;1207.4;277027
TRNFP;D;07/04/25;00:00;1221.8;159352
TRNFP;D;08/04/25;00:00;1196.8;2967620
TRNFP;D;09/04/25;00:00;1215;2497158
TRNFP;D;10/04/25;00:00;1249.4;2313445
TRNFP;D;11/04/25;00:00;1228.4;853017
TRNFP;D;12/04/25;00:00;1247;1042236
TRNFP;D;13/04/25;00:00;1259.6;125027
TRNFP;D;14/04/25;00:00;1264.2;158575
TRNFP;D;15/04/25;00:00;1236.8;739092
TRNFP;D;16/04/25;00:00;1267.2;1241995
TRNFP;D;17/04/25;00:00;1286.6;2049506
TRNFP;D;18/04/25;00:00;1313.6;1883514
TRNFP;D;19/04/25;00:00;1287;1310278
TRNFP;D;22/04/25;00:00;1316;1119200
TRNFP;D;23/04/25;00:00;1309;1905235
TRNFP;D;24/04/25;00:00;1286.6;1070236
TRNFP;D;25/04/25;00:00;1291.6;1154349
TRNFP;D;26/04/25;00:00;1317.6;1189650
TRNFP;D;27/04/25;00:00;1317.4;135026
TRNFP;D;28/04/25;00:00;1322.4;32239
TRNFP;D;29/04/25;00:00;1297.2;1280993
TRNFP;D;30/04/25;00:00;1288.2;811878
TRNFP;D;01/05/25;00:00;1273.4;759304
TRNFP;D;03/05/25;00:00;1246;376804
TRNFP;D;04/05/25;00:00;1251.2;33892
TRNFP;D;05/05/25;00:00;1256;39365
TRNFP;D;06/05/25;00:00;1227.8;875159
TRNFP;D;07/05/25;00:00;1230;962291
TRNFP;D;08/05/25;00:00;1231.2;1594672
TRNFP;D;09/05/25;00:00;1227.4;570355
TRNFP;D;11/05/25;00:00;1230.8;38300
TRNFP;D;12/05/25;00:00;1246;147757
TRNFP;D;13/05/25;00:00;1243.8;980960
TRNFP;D;14/05/25;00:00;1224;1784631
TRNFP;D;15/05/25;00:00;1210;1017146
TRNFP;D;16/05/25;00:00;1214;1454426
TRNFP;D;17/05/25;00:00;1208.8;1085716
TRNFP;D;18/05/25;00:00;1218.8;58188
TRNFP;D;19/05/25;00:00;1226.2;62713
TRNFP;D;20/05/25;00:00;1221.4;979819
TRNFP;D;21/05/25;00:00;1250;1658998
TRNFP;D;22/05/25;00:00;1232;1180363
TRNFP;D;23/05/25;00:00;1236.2;1411907
TRNFP;D;24/05/25;00:00;1232;568688
TRNFP;D;27/05/25;00:00;1230;868256
TRNFP;D;28/05/25;00:00;1269.4;1282461
TRNFP;D;29/05/25;00:00;1281.8;2166726
TRNFP;D;30/05/25;00:00;1271.2;863423
TRNFP;D;31/05/25;00:00;1293.6;1206138
TRNFP;D;01/06/25;00:00;1296.8;45054
TRNFP;D;02/06/25;00:00;1270.8;417374
TRNFP;D;03/06/25;00:00;1303.6;2758828
TRNFP;D;04/06/25;00:00;1321.4;1187206
TRNFP;D;05/06/25;00:00;1312;1010247
TRNFP;D;06/06/25;00:00;1339.4;1160087
TRNFP;D;07/06/25;00:00;1329.8;1321731
TRNFP;D;08/06/25;00:00;1336.6;62425
TRNFP;D;09/06/25;00:00;1337.4;39342
TRNFP;D;10/06/25;00:00;1316;813327
TRNFP;D;11/06/25;00:00;1306;552646
TRNFP;D;12/06/25;00:00;1300.8;562323
TRNFP;D;14/06/25;00:00;1313.4;256628
TRNFP;D;15/06/25;00:00;1320;55800
TRNFP;D;16/06/25;00:00;1319.2;109851
TRNFP;D;17/06/25;00:00;1317.6;342634
TRNFP;D;18/06/25;00:00;1318.4;413831
TRNFP;D;19/06/25;00:00;1331.4;582907
TRNFP;D;20/06/25;00:00;1337;542001
TRNFP;D;21/06/25;00:00;1350.8;537754
TRNFP;D;24/06/25;00:00;1379.8;1562235
TRNFP;D;25/06/25;00:00;1361;1203716
TRNFP;D;26/06/25;00:00;1377.4;614278
TRNFP;D;27/06/25;00:00;1402.8;954880
TRNFP;D;28/06/25;00:00;1390.2;1841050
TRNFP;D;29/06/25;00:00;1388;51838
TRNFP;D;30/06/25;00:00;1380.8;83624
TRNFP;D;01/07/25;00:00;1382.6;726130
TRNFP;D;02/07/25;00:00;1402.8;1177886
TRNFP;D;03/07/25;00:00;1414.4;753709
TRNFP;D;04/07/25;00:00;1428;850391
TRNFP;D;05/07/25;00:00;1418.6;1073775
TRNFP;D;06/07/25;00:00;1424.2;22354
TRNFP;D;07/07/25;00:00;1419;20418
TRNFP;D;08/07/25;00:00;1406.4;452851
TRNFP;D;09/07/25;00:00;1390.2;684677
TRNFP;D;10/07/25;00:00;1401.2;935516
TRNFP;D;11/07/25;00:00;1408.2;597374
TRNFP;D;12/07/25;00:00;1390;787472
TRNFP;D;13/07/25;00:00;1387.2;32995
TRNFP;D;14/07/25;00:00;1384;35779
TRNFP;D;15/07/25;00:00;1416;1187229
TRNFP;D;16/07/25;00:00;1434;929055
TRNFP;D;17/07/25;00:00;1499;2474813
TRNFP;D;18/07/25;00:00;1306;3118383
TRNFP;D;19/07/25;00:00;1339;1451430
TRNFP;D;20/07/25;00:00;1344;91810
TRNFP;D;21/07/25;00:00;1345.2;61034
TRNFP;D;22/07/25;00:00;1334.2;876443
TRNFP;D;23/07/25;00:00;1352;655688
TRNFP;D;24/07/25;00:00;1334.2;1459920
TRNFP;D;25/07/25;00:00;1318.6;635452
TRNFP;D;26/07/25;00:00;1321.4;813307
TRNFP;D;27/07/25;00:00;1323.8;13960
TRNFP;D;28/07/25;00:00;1328.4;18252
TRNFP;D;29/07/25;00:00;1301;567106
TRNFP;D;30/07/25;00:00;1291;472626
TRNFP;D;31/07/25;00:00;1263.6;767183
TRNFP;D;01/08/25;00:00;1285.2;529433
TRNFP;D;02/08/25;00:00;1311;734812
TRNFP;D;05/08/25;00:00;1316.8;864866
TRNFP;D;06/08/25;00:00;1319;390806
TRNFP;D;07/08/25;00:00;1330.6;878334
TRNFP;D;08/08/25;00:00;1342.6;1227696
TRNFP;D;09/08/25;00:00;1357.4;798197
TRNFP;D;12/08/25;00:00;1346;980291
TRNFP;D;13/08/25;00:00;1341.6;594795
TRNFP;D;14/08/25;00:00;1342;469939
TRNFP;D;15/08/25;00:00;1337.2;606785
TRNFP;D;16/08/25;00:00;1343.4;664530
TRNFP;D;17/08/25;00:00;1332.6;105944
TRNFP;D;18/08/25;00:00;1330.2;30647
TRNFP;D;19/08/25;00:00;1340.4;473384
TRNFP;D;20/08/25;00:00;1337.4;473327
TRNFP;D;21/08/25;00:00;1330;346006
TRNFP;D;22/08/25;00:00;1312.6;384524
TRNFP;D;23/08/25;00:00;1322.4;625292
TRNFP;D;24/08/25;00:00;1325.8;19760
TRNFP;D;25/08/25;00:00;1321;20671
TRNFP;D;26/08/25;00:00;1319.4;483596
TRNFP;D;27/08/25;00:00;1309.2;439075
TRNFP;D;28/08/25;00:00;1311;225615
TRNFP;D;29/08/25;00:00;1299.2;419807
TRNFP;D;30/08/25;00:00;1314.6;431014
TRNFP;D;31/08/25;00:00;1316;24461
TRNFP;D;01/09/25;00:00;1319;24539
TRNFP;D;02/09/25;00:00;1313.6;231240
TRNFP;D;03/09/25;00:00;1318.6;362595
TRNFP;D;04/09/25;00:00;1317.2;407245
TRNFP;D;05/09/25;00:00;1327.6;564365
TRNFP;D;06/09/25;00:00;1343.8;556842
TRNFP;D;07/09/25;00:00;1341;20108
TRNFP;D;08/09/25;00:00;1344.8;22458
TRNFP;D;09/09/25;00:00;1344;347693
TRNFP;D;10/09/25;00:00;1328;680510
TRNFP;D;11/09/25;00:00;1314.6;571135
TRNFP;D;12/09/25;00:00;1304;807655
TRNFP;D;13/09/25;00:00;1289.6;764259
TRNFP;D;14/09/25;00:00;1292.4;42210
TRNFP;D;15/09/25;00:00;1294.2;30902
TRNFP;D;16/09/25;00:00;1275.2;589009
TRNFP;D;17/09/25;00:00;1275.6;497979
TRNFP;D;18/09/25;00:00;1263.6;532963
TRNFP;D;19/09/25;00:00;1247.4;455557
TRNFP;D;20/09/25;00:00;1218.2;661546
TRNFP;D;23/09/25;00:00;1261.8;977379
TRNFP;D;24/09/25;00:00;1231.4;669809
TRNFP;D;25/09/25;00:00;1248;401382
TRNFP;D;26/09/25;00:00;1235;275693
TRNFP;D;27/09/25;00:00;1230.8;298035
TRNFP;D;28/09/25;00:00;1229;15611
TRNFP;D;29/09/25;00:00;1230.8;17946
TRNFP;D;30/09/25;00:00;1243.8;1098309
TRNFP;D;01/10/25;00:00;1231.8;621904
TRNFP;D;02/10/25;00:00;1239.8;394501
TRNFP;D;03/10/25;00:00;1230.8;439620
TRNFP;D;04/10/25;00:00;1215.6;463293
TRNFP;D;05/10/25;00:00;1212;80632
TRNFP;D;06/10/25;00:00;1224.8;55121
TRNFP;D;07/10/25;00:00;1253;582420
TRNFP;D;08/10/25;00:00;1272;420457
TRNFP;D;09/10/25;00:00;1243;634943
TRNFP;D;10/10/25;00:00;1242;887695
TRNFP;D;11/10/25;00:00;1229;625041
TRNFP;D;12/10/25;00:00;1227.6;47088
TRNFP;D;13/10/25;00:00;1227;21559
TRNFP;D;14/10/25;00:00;1229.8;626516
TRNFP;D;15/10/25;00:00;1215.6;407674
TRNFP;D;16/10/25;00:00;1228;589946
TRNFP;D;17/10/25;00:00;1292.6;1497813
TRNFP;D;18/10/25;00:00;1289.4;891132
TRNFP;D;19/10/25;00:00;1299.2;115845
TRNFP;D;20/10/25;00:00;1291.8;48016
TRNFP;D;21/10/25;00:00;1296.8;543620
TRNFP;D;22/10/25;00:00;1277.4;1001890
TRNFP;D;23/10/25;00:00;1257.6;542697
TRNFP;D;24/10/25;00:00;1246;570753
TRNFP;D;25/10/25;00:00;1227.6;379242
TRNFP;D;28/10/25;00:00;1200.4;641002
TRNFP;D;29/10/25;00:00;1216;614795
TRNFP;D;30/10/25;00:00;1226.6;297216
TRNFP;D;31/10/25;00:00;1233;284006
TRNFP;D;01/11/25;00:00;1219.4;226671
TRNFP;D;02/11/25;00:00;1227.2;104650
TRNFP;D;04/11/25;00:00;1241.4;114518
TRNFP;D;06/11/25;00:00;1248;353970
TRNFP;D;07/11/25;00:00;1258.8;449673
TRNFP;D;08/11/25;00:00;1267.8;284944
TRNFP;D;09/11/25;00:00;1268.8;23134
TRNFP;D;10/11/25;00:00;1268.6;13477
TRNFP;D;11/11/25;00:00;1264.2;463996
TRNFP;D;12/11/25;00:00;1276.2;267771
TRNFP;D;13/11/25;00:00;1260.2;269463
TRNFP;D;14/11/25;00:00;1263;297270
TRNFP;D;15/11/25;00:00;1258;426524
TRNFP;D;16/11/25;00:00;1256.6;9914
TRNFP;D;17/11/25;00:00;1249.4;129457
TRNFP;D;18/11/25;00:00;1244.6;375162
TRNFP;D;19/11/25;00:00;1250.6;479493
TRNFP;D;20/11/25;00:00;1275.6;743814
TRNFP;D;21/11/25;00:00;1306.6;834406
TRNFP;D;22/11/25;00:00;1291.8;498502
TRNFP;D;25/11/25;00:00;1283.4;405068
TRNFP;D;26/11/25;00:00;1305;582938
TRNFP;D;27/11/25;00:00;1313;596883
TRNFP;D;28/11/25;00:00;1299;353702
TRNFP;D;29/11/25;00:00;1318;366374
TRNFP;D;30/11/25;00:00;1313.6;21085
TRNFP;D;01/12/25;00:00;1321.8;24412
TRNFP;D;02/12/25;00:00;1329.6;569842
TRNFP;D;03/12/25;00:00;1326.2;379158
TRNFP;D;04/12/25;00:00;1321.6;468699
TRNFP;D;05/12/25;00:00;1325.2;171026
TRNFP;D;06/12/25;00:00;1342.8;425172
TRNFP;D;09/12/25;00:00;1343.2;342927
TRNFP;D;10/12/25;00:00;1358.4;249318
TRNFP;D;11/12/25;00:00;1352.6;341518
TRNFP;D;12/12/25;00:00;1350.4;500007
TRNFP;D;13/12/25;00:00;1327.2;475266
TRNFP;D;14/12/25;00:00;1335;20268
TRNFP;D;15/12/25;00:00;1327.2;20252
TRNFP;D;16/12/25;00:00;1338.6;446060
TRNFP;D;17/12/25;00:00;1354.4;368939
