"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2024","104.5955","103.0100","104.7500","101.5500","","0.97%"
"12/16/2024","103.5955","102.0000","104.6250","102.0000","","-0.86%"
"12/13/2024","104.4955","104.4100","104.6000","102.0000","","-0.48%"
"12/12/2024","104.9955","105.0100","106.0100","103.0000","","-0.47%"
"12/11/2024","105.4955","102.0100","108.7500","101.5100","","2.38%"
"12/10/2024","103.0455","100.0100","103.0500","99.7100","","3.05%"
"12/09/2024","99.9955","99.0100","100.6500","98.8000","","-0.55%"
"12/06/2024","100.5455","102.0100","102.0100","98.5100","","-0.45%"
"12/05/2024","100.9955","104.5100","105.0100","97.8500","","-3.81%"
"12/04/2024","104.9955","105.5100","106.0000","103.0000","","0.00%"
"12/03/2024","104.9955","105.5600","107.6000","104.0000","","-1.41%"
"12/02/2024","106.4955","107.3100","108.6000","105.5600","","0.00%"
"11/29/2024","106.4955","108.6100","110.0000","104.5000","","-1.39%"
"11/28/2024","107.9955","110.3100","112.0000","105.7500","","-4.55%"
"11/27/2024","113.1455","105.4100","114.5000","103.3100","","7.25%"
"11/26/2024","105.4955","103.5600","107.9500","102.5000","","1.44%"
"11/25/2024","103.9955","102.2100","104.1500","102.2100","","-0.34%"
"11/22/2024","104.3455","100.5100","104.3500","100.3600","","3.01%"
"11/21/2024","101.2955","100.0000","101.4500","100.0000","","0.70%"
"11/20/2024","100.5955","99.8268","100.7500","99.7500","","0.02%"
"11/19/2024","100.5705","99.8600","101.0750","99.8100","","0.83%"
"11/18/2024","99.7455","99.6600","100.5500","99.5600","","-0.25%"
"11/15/2024","99.9955","99.5100","100.4000","99.0000","","0.50%"
"11/14/2024","99.5000","98.2600","100.7500","97.5000","","1.02%"
"11/13/2024","98.4955","97.7500","98.7000","97.7500","","0.25%"
"11/12/2024","98.2455","97.5600","98.2500","97.5600","","2.34%"
"11/11/2024","95.9955","97.3100","98.7000","95.5000","","-1.64%"
"11/08/2024","97.5955","97.9100","98.2100","96.9000","","-0.41%"
"11/07/2024","97.9955","98.3600","98.3600","96.6000","","0.80%"
"11/06/2024","97.2205","95.0000","100.5000","95.0000","","-0.59%"
"11/05/2024","97.7955","98.3600","98.7250","97.3000","","-0.56%"
"11/04/2024","98.3500","97.4100","99.0500","97.4100","","0.36%"
"11/01/2024","97.9955","97.0600","98.2500","97.0000","","0.64%"
"10/31/2024","97.3705","96.9100","97.3750","96.9100","","0.49%"
"10/30/2024","96.9000","97.1600","98.0000","96.6000","","-0.61%"
"10/29/2024","97.4955","97.1600","98.0000","95.6500","","0.36%"
"10/28/2024","97.1500","96.6600","98.0000","96.6600","","-0.10%"
"10/25/2024","97.2455","96.9500","97.3500","96.3750","","1.04%"
"10/24/2024","96.2455","96.4100","97.1500","95.5000","","0.26%"
"10/23/2024","95.9955","96.4100","96.8750","95.9500","","0.26%"
"10/22/2024","95.7455","96.3100","97.1000","95.7500","","-1.08%"
"10/21/2024","96.7955","96.3100","97.5500","95.7500","","0.10%"
"10/18/2024","96.7000","96.7500","97.2500","95.2500","","0.00%"
"10/17/2024","96.7000","96.7500","97.7000","96.7500","","0.00%"
"10/16/2024","96.7000","96.7500","97.7500","96.7500","","0.00%"
"10/15/2024","96.7000","94.5000","99.1250","94.0000","","1.16%"
"10/14/2024","95.5955","95.6100","96.4500","95.6000","","-0.21%"
"10/11/2024","95.7955","97.2100","97.2100","95.2000","","-0.83%"
"10/10/2024","96.5955","97.1600","97.6000","96.6000","","-0.41%"
"10/09/2024","96.9955","97.0000","100.3000","96.3100","","0.26%"
"10/08/2024","96.7455","96.0600","96.8000","96.0100","","0.57%"
"10/07/2024","96.1955","95.5100","96.5000","95.5100","","1.26%"
"10/04/2024","94.9955","94.5000","96.0000","94.5000","","0.26%"
"10/03/2024","94.7455","94.5100","95.3500","94.4100","","-0.94%"
"10/02/2024","95.6455","95.6650","97.1500","93.6600","","-0.21%"
"10/01/2024","95.8455","92.9100","95.8500","92.7000","","3.06%"
"09/30/2024","92.9955","92.9100","93.6750","92.0000","","-1.40%"
"09/27/2024","94.3205","92.3500","94.3250","92.3500","","1.84%"
"09/26/2024","92.6130","92.0650","92.8250","91.7500","","0.13%"
"09/25/2024","92.4955","92.4300","93.0100","91.2500","","-0.32%"
"09/24/2024","92.7955","92.8100","93.5500","92.5000","","1.45%"
"09/23/2024","91.4705","92.5100","93.3000","91.4750","","-0.95%"
"09/20/2024","92.3455","92.8100","93.1250","92.2500","","0.19%"
"09/19/2024","92.1705","92.1250","93.7000","91.6600","","-1.55%"
"09/18/2024","93.6205","90.9650","93.8500","90.9361","","2.32%"
"09/17/2024","91.4955","90.7150","91.6000","90.4000","","0.11%"
"09/16/2024","91.3955","90.8600","91.5000","90.7500","","1.56%"
"09/13/2024","89.9955","91.1100","91.5000","90.0000","","0.90%"
"09/12/2024","89.1955","91.0100","91.5750","89.2000","","-2.59%"
"09/11/2024","91.5705","90.9600","92.2250","90.5000","","0.63%"
"09/10/2024","90.9955","90.7100","91.6250","90.0000","","0.50%"
"09/09/2024","90.5455","89.7100","91.2750","89.7100","","0.22%"
"09/06/2024","90.3455","89.5000","90.5000","89.1850","","2.38%"
"09/05/2024","88.2455","89.5100","90.7500","88.2500","","0.86%"
"09/04/2024","87.4968","87.8159","90.0100","87.2500","","-0.34%"
"09/03/2024","87.7912","89.5000","90.3000","87.1000","","-2.23%"
"09/02/2024","89.7955","91.8100","91.8100","89.0000","","-0.94%"
"08/30/2024","90.6455","91.5000","92.2500","90.4500","","-1.47%"
"08/29/2024","91.9955","91.4100","92.2500","91.1100","","0.55%"
"08/28/2024","91.4955","91.0100","92.1000","91.0100","","0.00%"
"08/27/2024","91.4955","91.8150","92.3100","90.9500","","-0.54%"
"08/26/2024","91.9955","91.3100","92.5000","91.2100","","0.55%"
"08/23/2024","91.4955","91.3100","91.9100","91.1100","","0.21%"
"08/22/2024","91.3000","91.6100","92.5000","90.6500","","-0.21%"
"08/21/2024","91.4955","91.4100","92.3750","90.8750","","0.38%"
"08/20/2024","91.1455","90.0000","91.9100","89.1250","","1.48%"
"08/19/2024","89.8205","89.0100","90.1500","89.0100","","0.42%"
"08/16/2024","89.4455","89.0100","91.0100","87.7500","","0.65%"
"08/15/2024","88.8705","89.0100","90.5000","88.2500","","-1.03%"
"08/14/2024","89.7955","92.0000","93.0000","88.0000","","-0.77%"
"08/13/2024","90.4955","91.0100","96.4000","90.5000","","-0.55%"
"08/12/2024","90.9955","89.0100","91.8000","88.4500","","2.71%"
"08/09/2024","88.5955","86.7100","89.0100","86.7100","","2.19%"
"08/08/2024","86.7000","86.2100","87.2488","85.8500","","1.08%"
"08/07/2024","85.7705","85.2500","86.2500","84.7500","","0.12%"
"08/06/2024","85.6705","85.5650","85.8600","84.5100","","0.94%"
"08/05/2024","84.8705","85.6600","87.0000","84.6100","","-0.73%"
"08/02/2024","85.4955","85.9600","85.9600","85.3500","","0.00%"
"08/01/2024","85.4955","86.1600","86.3500","85.2000","","-0.76%"
"07/31/2024","86.1500","86.2100","86.5750","85.0000","","0.47%"
"07/30/2024","85.7455","86.4100","86.7000","85.7500","","-0.75%"
"07/29/2024","86.3955","86.0100","87.0000","85.3500","","0.35%"
"07/26/2024","86.0955","85.0000","87.3600","85.0000","","1.29%"
"07/25/2024","84.9955","87.0675","87.0675","84.8500","","-1.44%"
"07/24/2024","86.2405","87.2100","87.8000","86.1950","","-1.83%"
"07/23/2024","87.8455","87.9100","88.3000","85.9250","","0.00%"
"07/22/2024","87.8455","87.9100","88.5000","87.3250","","0.17%"
"07/19/2024","87.6955","88.4000","88.4000","87.0500","","-0.79%"
"07/18/2024","88.3955","88.5000","88.5000","87.5100","","-0.11%"
"07/17/2024","88.4955","88.5000","88.6000","87.9100","","0.11%"
"07/16/2024","88.3955","88.0575","88.9250","87.4100","","0.06%"
"07/15/2024","88.3455","87.3600","88.6000","87.2100","","0.54%"
"07/12/2024","87.8705","87.0000","88.1500","87.0000","","1.01%"
"07/11/2024","86.9955","87.5100","88.5750","87.0000","","-1.53%"
"07/10/2024","88.3455","87.5000","89.0000","87.3100","","2.14%"
"07/09/2024","86.4955","87.2500","88.5000","86.5000","","-0.14%"
"07/08/2024","86.6205","88.3750","90.0250","86.6250","","-1.56%"
"07/05/2024","87.9955","88.0100","88.6750","87.7100","","-1.12%"
"07/04/2024","88.9955","88.5000","89.1000","87.0100","","1.31%"
"07/03/2024","87.8455","87.8500","88.4750","86.5800","","0.00%"
"07/02/2024","87.8455","86.9100","88.7500","86.3500","","1.27%"
"07/01/2024","86.7455","84.9100","87.5500","84.9100","","1.17%"
"06/28/2024","85.7455","85.0000","88.2500","84.8100","","0.88%"
"06/27/2024","84.9955","88.2500","89.9293","82.0623","","-3.68%"
"06/26/2024","88.2455","87.5000","90.2003","84.4897","","0.00%"
"06/25/2024","88.2455","87.3100","90.1978","83.8915","","0.28%"
"06/24/2024","87.9955","87.1100","92.2943","84.4185","","-1.21%"
"06/21/2024","89.0705","87.3750","95.3500","83.8725","","2.09%"
"06/20/2024","87.2455","83.1250","90.1228","82.1390","","5.58%"
"06/19/2024","82.6340","85.7500","88.4970","81.3545","","-3.21%"
"06/18/2024","85.3705","88.7200","90.9728","84.2618","","-3.78%"
"06/17/2024","88.7205","89.1100","92.1863","86.6042","","-0.99%"
"06/14/2024","89.6118","88.5100","91.4583","86.7780","","1.98%"
"06/13/2024","87.8705","89.3750","91.9978","86.6408","","-1.26%"
"06/12/2024","88.9955","89.2450","89.8028","88.4273","","-0.28%"
"06/11/2024","89.2455","88.8500","89.4913","87.5600","","0.42%"
"06/10/2024","88.8705","89.0300","90.2788","87.1300","","0.27%"
"06/07/2024","88.6330","89.3200","89.4998","87.9425","","-0.76%"
"06/06/2024","89.3100","88.7850","89.5592","88.3253","","0.30%"
"06/05/2024","89.0455","88.9475","89.4253","88.1600","","0.58%"
"06/04/2024","88.5330","89.2150","89.5868","88.3680","","-0.88%"
"06/03/2024","89.3205","90.0075","90.4978","88.7463","","-1.17%"
"05/31/2024","90.3755","90.3242","91.3478","88.5425","","-0.02%"
"05/30/2024","90.3955","89.5725","90.4500","89.1175","","0.92%"
"05/29/2024","89.5705","88.6875","90.2053","88.2082","","1.13%"
"05/28/2024","88.5705","88.6100","89.5533","87.7322","","-0.42%"
"05/27/2024","88.9455","89.5275","90.0158","87.3293","","-0.73%"
"05/24/2024","89.5955","91.4676","92.3338","87.8475","","-2.21%"
"05/23/2024","91.6205","90.2225","92.4257","88.1475","","1.58%"
"05/22/2024","90.1955","90.5000","91.6873","89.2003","","-0.03%"
"05/21/2024","90.2205","90.7000","90.9373","89.8653","","-0.49%"
"05/20/2024","90.6630","90.9100","91.7608","88.5857","","-0.37%"
"05/17/2024","90.9955","91.0500","91.3108","90.6255","","0.14%"
"05/16/2024","90.8705","90.9250","91.3127","89.9175","","0.14%"
"05/15/2024","90.7460","91.2600","91.6795","90.7933","","-0.63%"
"05/14/2024","91.3205","91.3850","91.9663","90.2305","","-0.30%"
"05/13/2024","91.5955","90.9000","93.0760","90.6640","","-1.16%"
"05/10/2024","92.6705","91.0100","93.1558","91.0100","","0.14%"
"05/09/2024","92.5455","91.7500","93.1250","91.7500","","1.01%"
"05/08/2024","91.6218","91.6340","92.4317","91.2308","","0.19%"
"05/07/2024","91.4455","91.3495","91.8433","90.8148","","0.41%"
"05/06/2024","91.0730","91.5300","92.8477","89.7498","","0.21%"
"05/03/2024","90.8790","92.5000","94.1858","90.4178","","-0.27%"
"05/02/2024","91.1205","93.0475","94.6488","90.2463","","-2.32%"
"05/01/2024","93.2830","93.6165","94.5500","93.2200","","-0.17%"
"04/30/2024","93.4455","93.3350","93.8717","92.4800","","0.13%"
"04/29/2024","93.3205","92.7575","93.8848","91.4553","","1.57%"
"04/26/2024","91.8755","92.2044","93.1088","90.8475","","-0.37%"
"04/25/2024","92.2155","92.3250","92.6687","91.7863","","-0.09%"
"04/24/2024","92.2957","93.1425","93.9603","91.6135","","-0.97%"
"04/23/2024","93.1955","93.3000","95.0345","91.6775","","-0.25%"
"04/22/2024","93.4320","93.1400","94.2593","91.2250","","0.44%"
"04/19/2024","93.0205","93.9750","95.1163","92.2820","","-0.83%"
"04/18/2024","93.7950","94.2600","95.5818","93.4013","","-0.29%"
"04/17/2024","94.0705","94.4100","95.0147","93.7220","","-0.08%"
"04/16/2024","94.1455","93.9250","94.7767","92.9800","","0.70%"
"04/15/2024","93.4955","93.2450","94.0248","93.1170","","0.21%"
"04/12/2024","93.2955","93.3500","94.5898","92.8805","","0.46%"
"04/11/2024","92.8670","93.5650","95.0075","92.5618","","-0.46%"
"04/10/2024","93.2955","92.9475","93.8438","92.4700","","0.43%"
"04/09/2024","92.8955","92.4250","93.9493","91.5600","","0.30%"
"04/08/2024","92.6205","92.4625","93.0363","91.7978","","0.12%"
"04/05/2024","92.5080","92.3850","92.9723","91.3750","","0.28%"
"04/04/2024","92.2455","92.3300","94.5400","90.8283","","-0.05%"
"04/03/2024","92.2955","92.4500","92.9702","91.6503","","-0.19%"
"04/02/2024","92.4705","92.4500","93.3900","91.9850","","0.20%"
"04/01/2024","92.2825","92.3100","92.4425","92.1200","","-0.31%"
"03/29/2024","92.5705","92.6425","92.6600","92.1400","","0.27%"
"03/28/2024","92.3230","92.2125","93.0393","91.5728","","-0.13%"
"03/27/2024","92.4455","92.7750","93.0000","91.8473","","-0.03%"
"03/26/2024","92.4705","92.7300","93.1553","91.5750","","-0.46%"
"03/25/2024","92.8955","92.9060","93.4593","92.1478","","0.84%"
"03/22/2024","92.1205","92.8215","93.9803","91.5018","","0.27%"
"03/21/2024","91.8705","92.2750","92.5283","91.4273","","-0.41%"
"03/20/2024","92.2455","92.4700","92.9635","92.0000","","0.00%"
"03/19/2024","92.2430","91.7300","93.0808","91.3025","","0.88%"
"03/18/2024","91.4420","93.1575","93.4620","91.3315","","-1.17%"
"03/15/2024","92.5205","91.6250","93.0133","91.4280","","1.09%"
"03/14/2024","91.5205","91.6800","92.0493","91.1362","","0.19%"
"03/13/2024","91.3455","91.7325","92.4288","90.5700","","-0.37%"
"03/12/2024","91.6855","90.8000","92.0983","90.5270","","0.76%"
"03/11/2024","90.9955","90.7950","92.5438","88.8050","","0.06%"
"03/08/2024","90.9449","90.6520","91.4663","90.3523","","0.33%"
"03/07/2024","90.6455","90.7525","91.3540","90.3220","","-0.12%"
"03/06/2024","90.7505","90.7000","91.4933","89.7308","","-0.24%"
"03/05/2024","90.9705","91.4500","91.6252","90.2808","","-0.27%"
"03/04/2024","91.2180","91.7775","91.8983","90.9510","","-0.52%"
"03/01/2024","91.6967","91.2750","92.6833","90.4900","","0.22%"
"02/29/2024","91.4955","91.0875","92.0208","90.0475","","-0.05%"
"02/28/2024","91.5455","92.0200","92.3960","90.9735","","-0.52%"
"02/27/2024","92.0205","92.2100","92.6750","91.4398","","0.16%"
"02/26/2024","91.8740","93.2100","94.2563","91.5232","","-1.87%"
"02/23/2024","93.6205","93.3500","96.2478","91.7688","","0.62%"
"02/22/2024","93.0455","91.9000","94.8038","91.3668","","1.14%"
"02/21/2024","91.9955","92.3550","93.4228","91.0100","","-0.12%"
"02/20/2024","92.1060","92.2800","92.9325","91.0100","","-0.26%"
"02/19/2024","92.3455","91.9950","93.0173","91.0100","","0.38%"
"02/16/2024","91.9955","92.3099","93.7438","91.6883","","-0.30%"
"02/15/2024","92.2705","91.7135","92.8218","89.4950","","0.68%"
"02/14/2024","91.6455","91.3100","92.1673","90.8933","","0.16%"
"02/13/2024","91.4955","91.1750","91.8313","88.6725","","0.30%"
"02/12/2024","91.2205","90.9950","91.4628","90.6447","","0.25%"
"02/09/2024","90.9955","90.9650","92.3228","90.2970","","-0.19%"
"02/08/2024","91.1705","91.5950","91.9765","90.7598","","-0.46%"
"02/07/2024","91.5955","90.5250","92.0603","90.3675","","1.19%"
"02/06/2024","90.5150","90.6700","91.6782","89.2425","","-0.03%"
"02/05/2024","90.5455","91.1600","91.5440","90.1201","","-0.49%"
"02/02/2024","90.9955","90.4750","91.3933","89.9203","","0.64%"
"02/01/2024","90.4155","90.1850","91.0153","89.6275","","0.52%"
"01/31/2024","89.9455","89.6250","90.1595","88.9060","","0.42%"
"01/30/2024","89.5705","88.9625","90.1028","88.3688","","0.34%"
"01/29/2024","89.2705","89.7450","90.4738","87.6600","","-0.53%"
"01/26/2024","89.7455","89.0525","90.2363","88.7538","","0.81%"
"01/25/2024","89.0205","88.5775","89.4938","88.3348","","0.31%"
"01/24/2024","88.7455","88.7192","89.0283","87.9133","","-0.14%"
"01/23/2024","88.8692","87.7650","89.0483","87.4375","","0.99%"
"01/22/2024","87.9955","88.3425","88.5950","87.3278","","-0.20%"
"01/19/2024","88.1705","89.1400","89.5478","87.1738","","-1.40%"
"01/18/2024","89.4205","89.0575","90.3273","88.0075","","0.90%"
"01/17/2024","88.6205","88.0100","89.3673","87.2298","","0.60%"
"01/16/2024","88.0955","87.6100","88.8423","86.6150","","0.43%"
"01/15/2024","87.7205","88.2400","88.6450","87.1550","","-0.27%"
"01/12/2024","87.9560","88.3750","89.0553","87.7760","","-0.61%"
"01/11/2024","88.4955","89.3500","89.5507","88.0532","","-0.99%"
"01/10/2024","89.3780","89.6087","90.1490","88.9090","","-0.28%"
"01/09/2024","89.6330","91.1650","91.7338","89.1523","","-1.39%"
"01/08/2024","90.8980","91.0025","91.3900","89.7003","","-0.02%"
"01/05/2024","90.9205","91.3100","92.2013","90.4525","","-0.47%"
"01/04/2024","91.3455","91.8750","92.6538","90.9338","","-0.71%"
"01/03/2024","91.9955","90.9025","92.8350","89.8650","","1.74%"
"01/02/2024","90.4205","90.5570","91.3258","89.8313","","1.32%"
"01/01/2024","89.2455","89.2455","89.2455","89.2455","","0.00%"
"12/29/2023","89.2455","88.4750","91.2003","88.4727","","0.85%"
"12/28/2023","88.4955","91.0375","91.9688","88.0822","","-3.41%"
"12/27/2023","91.6205","91.8925","92.7713","90.8805","","-0.01%"
"12/26/2023","91.6275","91.4550","91.9425","91.4275","","-0.39%"
"12/25/2023","91.9825","92.1000","92.5000","89.5325","","-0.15%"
"12/22/2023","92.1205","92.0950","93.2348","90.3550","","-0.81%"
"12/21/2023","92.8705","90.8100","93.1753","90.0610","","3.59%"
"12/20/2023","89.6480","90.4700","91.7227","89.4050","","-0.91%"
"12/19/2023","90.4705","90.5200","90.9323","89.6305","","-0.06%"
